//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agreSSIVE 4nessType
// pest control
3782 - 6000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
3784 - 6000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
3785 - 6000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
6146 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
6147 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
6148 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
6149 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
6142 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
6143 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
6144 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
6145 - 2000 -1 -1 -1 0 0 60 240 MELEE -1 -1 AGRESSIVE 8
//shifters
3732 - 230 3901 3902 3903 5 4 60 51 SPECIAL -1 -1 AGRESSIVE 8
3733 - 380 3901 3902 3903 5 4 60 66 SPECIAL -1 -1 AGRESSIVE 8
3734 - 530 3901 3902 3903 5 4 60 81 SPECIAL -1 -1 AGRESSIVE 8
3735 - 680 3901 3902 3903 5 4 60 89 SPECIAL -1 -1 AGRESSIVE 8
3736 - 830 3901 3902 3903 5 4 60 97 SPECIAL -1 -1 AGRESSIVE 8
3737 - 230 3901 3902 3903 5 4 60 51 SPECIAL -1 -1 AGRESSIVE 8
3738 - 380 3901 3902 3903 5 4 60 66 SPECIAL -1 -1 AGRESSIVE 8
3739 - 530 3901 3902 3903 5 4 60 81 SPECIAL -1 -1 AGRESSIVE 8
3740 - 680 3901 3902 3903 5 4 60 89 SPECIAL -1 -1 AGRESSIVE 8
3741 - 830 3901 3902 3903 5 4 60 97 SPECIAL -1 -1 AGRESSIVE 8
// brawlers
3772 - 530 3897 3895 3894 5 2 60 71 MELEE -1 -1 AGRESSIVE 8
3773 - 830 3897 3895 3894 5 2 60 96 MELEE -1 -1 AGRESSIVE 8
3774 - 970 3897 3895 3894 5 2 60 100 MELEE -1 -1 AGRESSIVE 8
3775 - 1130 3897 3895 3894 5 2 60 121 MELEE -1 -1 AGRESSIVE 8
3776 - 1430 3897 3895 3894 5 2 60 146 MELEE -1 -1 AGRESSIVE 8
// spinners
3747 - 330 3908 3909 3910 5 4 60 51 MELEE -1 -1 AGRESSIVE 8
3748 - 630 3908 3909 3910 5 4 60 66 MELEE -1 -1 AGRESSIVE 8
3749 - 780 3908 3909 3910 5 4 60 81 MELEE -1 -1 AGRESSIVE 8
3750 - 940 3908 3909 3910 5 4 60 90 MELEE -1 -1 AGRESSIVE 8
3751 - 1010 3908 3909 3910 5 4 60 96 MELEE -1 -1 AGRESSIVE 8
//ravagers
3742 - 230 3915 3916 3917 5 4 60 71 MELEE -1 -1 AGRESSIVE 8
3743 - 380 3915 3916 3917 5 4 60 96 MELEE -1 -1 AGRESSIVE 8
3744 - 530 3915 3916 3917 5 4 60 121 MELEE -1 -1 AGRESSIVE 8
3745 - 680 3915 3916 3917 5 4 60 146 MELEE -1 -1 AGRESSIVE 8
3746 - 830 3915 3916 3917 5 4 60 171 MELEE -1 -1 AGRESSIVE 8
// splatters
3727 - 130 3891 3890 -1 5 4 60 31 MELEE -1 -1 AGRESSIVE 8
3728 - 230 3891 3890 -1 5 4 60 36 MELEE -1 -1 AGRESSIVE 8
3729 - 480 3891 3890 -1 5 4 60 41 MELEE -1 -1 AGRESSIVE 8
3730 - 670 3891 3890 -1 5 4 60 46 MELEE -1 -1 AGRESSIVE 8
3731 - 810 3891 3890 -1 5 4 60 51 MELEE -1 -1 AGRESSIVE 8
// defiler
3762 - 270 3920 3921 3922 5 4 60 60 RANGE 657 656 AGRESSIVE 8
3763 - 450 3920 3921 3922 5 4 60 80 RANGE 657 656 AGRESSIVE 8
3764 - 450 3920 3921 3922 5 4 60 80 RANGE 657 656 AGRESSIVE 8
